alpha,arousal1,betha,theta,gamma,valence1
3.31,0.3,4.6,3.73,4.61,0.02
3,0.33,4.6,3.61,4.45,0.06
2.86,0.35,4.53,3.7,4.41,0.09
2.87,0.35,4.5,3.95,4.39,0.1
2.85,0.35,4.72,3.99,4.47,0.07
3.05,0.33,4.77,3.98,4.55,0.02
3.12,0.32,4.75,3.91,4.57,0.01
3.06,0.33,4.65,3.88,4.48,0
2.98,0.34,4.68,3.99,4.65,-0.01
2.98,0.34,4.71,4.18,4.63,-0.01
2.97,0.34,4.75,4.34,4.68,-0.01
3.07,0.33,4.96,4.39,4.7,0
3.16,0.32,5.07,4.37,4.74,0.01
3.1,0.32,5.06,4.29,4.71,0
3.09,0.32,5.04,4.19,4.7,-0.01
2.98,0.34,4.92,4.17,4.66,0.02
2.81,0.36,5.05,4.23,4.84,0.07
2.83,0.35,5.08,4.28,4.88,0.1
2.78,0.36,5.02,4.22,4.98,0.11
2.82,0.35,4.99,4.05,4.93,0.11
3.13,0.32,4.95,3.91,4.92,0.07
3.47,0.29,4.86,3.89,4.85,0.03
3.67,0.27,4.72,4.01,4.71,0
3.88,0.26,4.68,4.04,4.69,0
4.1,0.24,4.67,4.15,4.68,0.01
4.29,0.23,4.68,4.34,4.67,0.02
4.44,0.23,4.59,4.54,4.6,0.02
4.67,0.21,4.35,4.54,4.33,0.01
5.01,0.2,4.38,4.65,4.19,0
5.23,0.19,4.36,4.68,3.84,-0.01
5.27,0.19,4.54,4.67,3.97,-0.01
5.24,0.19,4.5,4.62,4.02,-0.01
5.19,0.19,4.4,4.6,4.16,-0.01
5.13,0.2,4.29,4.67,4.19,-0.01
5.07,0.2,4.36,4.73,4.16,-0.01
5.01,0.2,4.39,4.63,4.15,-0.02
4.97,0.2,4.4,4.51,4.2,-0.03
4.93,0.2,4.29,4.69,4.13,-0.03
4.69,0.21,4.28,4.83,4.11,-0.05
4.32,0.23,4.25,4.74,4.17,-0.06
4.26,0.23,4.29,4.83,4.21,-0.07
3.09,0.32,3.92,3.64,3.87,0.04
3.19,0.31,3.75,4.27,3.81,0.04
3.2,0.31,3.63,4.54,3.92,0.05
3.21,0.31,3.63,4.57,3.92,0.04
3.19,0.31,3.62,4.61,3.76,0.04
3.15,0.32,3.73,4.61,3.67,0.03
3.11,0.32,3.67,4.59,3.64,0.02
3.1,0.32,3.66,4.58,3.57,0.01
3.1,0.32,3.75,4.58,3.51,0
3.12,0.32,3.7,4.6,3.34,0
3.09,0.32,3.68,4.58,3.27,-0.02
2.89,0.35,3.61,4.29,3.24,-0.04
2.56,0.39,3.48,3.84,3.21,-0.07
2.59,0.39,3.42,3.78,3.07,-0.07
2.65,0.38,3.45,3.84,3.06,-0.08
2.61,0.38,3.43,3.75,2.73,-0.09
2.32,0.43,3.2,3.7,2.62,-0.1
2.33,0.43,3.14,3.7,2.84,-0.08
2.85,0.35,3.11,3.72,3.05,-0.05
3.08,0.33,3.11,3.68,3.06,-0.05
3.09,0.32,3.19,3.58,3.38,-0.05
3.1,0.32,3.22,3.5,3.43,-0.05
3.1,0.32,3.31,3.33,3.58,-0.05
3.09,0.32,3.34,3.26,3.64,-0.04
3.06,0.33,3.47,3.98,3.87,-0.04
2.98,0.34,3.84,4.46,4.11,-0.05
3.33,0.3,3.96,4.62,4.28,-0.04
3.72,0.27,3.99,4.86,4.37,-0.04
3.78,0.26,4.07,5,4.51,-0.04
3.69,0.27,4.1,5.07,4.6,-0.04
3.66,0.27,4.23,5.1,4.65,-0.03
3.67,0.27,4.31,5.1,4.64,-0.03
3.73,0.27,4.31,5.13,4.63,-0.03
3.8,0.26,4.36,5.22,4.58,-0.03
3.89,0.26,4.44,5.27,4.6,-0.02
3.91,0.26,4.39,5.18,4.39,-0.01
3.93,0.25,4.23,5.13,4.33,-0.01
3.91,0.26,4.28,5.1,4.15,-0.01
3.84,0.26,4.22,5.06,4.09,0
3.8,0.26,4.12,5.04,3.7,0
3.75,0.27,4.14,4.98,3.77,0
3.72,0.27,4.02,4.97,3.61,0.01
3.76,0.27,3.94,4.99,3.52,0.01
3.71,0.27,3.98,4.94,3.53,0.02
3.65,0.27,3.75,4.91,3.52,0.01
3.6,0.28,3.65,4.92,3.54,0.01
3.58,0.28,3.89,4.75,3.57,0.01
3.49,0.29,4.15,4.46,3.68,0.01
3.14,0.32,4.17,4.25,3.65,0.03
2.8,0.36,4.17,4.1,3.8,0.05
2.89,0.35,4.21,4.27,3.59,0.03
2.98,0.34,4.16,4.51,3.53,0
2.87,0.35,4.11,4.52,3.54,-0.02
2.89,0.35,4.16,4.54,3.69,-0.01
2.99,0.33,4.23,4.59,3.75,0
2.89,0.35,4.24,4.46,3.76,0
2.85,0.35,4.23,4.48,3.7,0
2.87,0.35,4.02,4.81,3.62,0
2.87,0.35,3.7,4.97,3.56,-0.01
2.99,0.33,3.68,5.04,3.53,-0.02
2.97,0.34,3.74,5.1,3.43,-0.02
2.9,0.34,3.66,5.03,3.48,-0.01
2.89,0.35,3.67,4.99,3.41,0
2.88,0.35,3.62,5.05,3.43,-0.02
2.73,0.37,3.66,5.05,3.25,-0.09
2.76,0.36,3.56,5.03,3.07,-0.11
2.75,0.36,3.62,5.01,3.18,-0.11
2.84,0.35,3.69,4.91,3.46,-0.11
3.23,0.31,4.12,4.76,3.49,-0.06
3.71,0.27,4.29,4.83,3.54,-0.03
3.95,0.25,4.26,4.86,3.63,-0.02
4.01,0.25,4.32,4.81,3.53,-0.01
4,0.25,4.33,4.8,3.48,-0.01
4.04,0.25,4.33,4.7,3.48,-0.01
4.08,0.25,4.35,4.54,3.43,-0.01
4.07,0.25,4.33,4.43,3.4,-0.01
4.06,0.25,4.29,4.43,3.39,-0.01
4.08,0.25,4.26,4.51,3.2,0
4.07,0.25,4.18,4.48,2.89,0
3.85,0.26,3.82,4.36,2.85,0
3.39,0.29,3.57,4.2,2.63,0.02
3.11,0.32,3.57,4.1,2.45,0.05
3.11,0.32,3.6,4.05,2.51,0.04
3.07,0.33,3.71,4.09,2.92,0.03
2.97,0.34,4.18,4.2,3.13,0.04
3.29,0.3,4.46,4.42,3.33,0.01
3.68,0.27,4.54,4.65,3.45,-0.01
3.74,0.27,4.64,4.69,3.58,0
3.73,0.27,4.76,4.67,3.72,-0.01
3.73,0.27,4.73,4.72,3.85,0
3.72,0.27,4.77,4.74,3.91,0
3.6,0.28,4.88,4.62,3.98,-0.02
3.51,0.28,4.89,4.57,3.99,-0.03
3.52,0.28,4.88,4.57,3.97,-0.03
3.53,0.28,4.77,4.53,3.9,-0.03
3.47,0.29,4.61,4.45,3.95,-0.02
3.02,0.33,4.41,4.1,3.89,0.02
2.76,0.36,4.36,3.72,3.85,0.02
2.8,0.36,4.19,3.68,3.68,0.02
2.72,0.37,4.14,3.65,3.51,0.01
2.72,0.37,4.15,3.34,3.61,-0.01
2.71,0.37,4.08,2.78,3.45,-0.01
2.73,0.37,3.95,2.48,3.51,0
2.82,0.35,3.98,2.53,3.79,-0.02
2.84,0.35,4.21,2.83,3.74,-0.03
2.78,0.36,4.13,3.13,3.77,-0.02
3.06,0.33,5.42,5.13,5.1,0
3.06,0.33,5.36,5.12,5.1,0
