alpha,arousal1,betha,theta,gamma,valence1,Stimuli(Visual),Response
3.02,0.331,2.66,4.06,1.96,0.0154,Sad,Sad
3.05,0.328,2.68,4.05,1.89,0.0131,Sad,Sad
3.14,0.319,2.86,4.04,1.95,0.0206,Sad,Sad
3.32,0.301,2.94,4.11,1.98,0.0218,Sad,Sad
3.42,0.293,2.81,3.98,2.04,0.0188,Sad,Sad
3.34,0.299,2.91,3.68,2,0.0264,Sad,Sad
3.26,0.307,2.96,3.61,2.05,0.0318,Sad,Sad
3.24,0.308,3.07,3.68,2.08,0.0244,Sad,Sad
3.22,0.311,3.24,3.7,1.95,0.0189,Sad,Sad
3.19,0.313,3.28,3.65,1.86,0.0127,Sad,Sad
3.14,0.319,3.22,3.49,1.81,0.00262,Sad,Sad
3.13,0.32,3.2,3.39,1.8,-0.0104,Sad,Sad
3.09,0.323,3.06,3.45,1.69,-0.0211,Sad,Sad
2.97,0.336,3.02,3.64,1.66,-0.0356,Sad,Sad
2.69,0.371,3.06,3.58,1.56,-0.0596,Sad,Sad
2.46,0.406,3.27,3.39,1.66,-0.088,Sad,Sad
2.51,0.398,3.24,3.47,1.63,-0.0688,Sad,Sad
2.49,0.402,3.27,3.62,1.6,-0.0491,Sad,Sad
2.65,0.377,3.49,3.77,1.76,-0.0288,Sad,Sad
2.73,0.367,3.44,3.85,1.86,-0.0158,Sad,Sad
2.7,0.37,3.4,3.83,1.84,-0.00837,Sad,Sad
2.56,0.391,3.41,3.86,1.85,0.0159,Sad,Sad
2.4,0.416,3.62,3.89,1.93,0.054,Sad,Sad
2.39,0.419,3.67,3.79,1.91,0.0719,Sad,Sad
2.39,0.418,3.7,3.69,1.94,0.0721,Sad,Sad
2.43,0.411,3.64,3.78,1.93,0.0784,Sad,Sad
2.42,0.413,3.51,4.14,1.85,0.0841,Sad,Sad
2.29,0.438,3.55,4.54,1.81,0.0964,Sad,Sad
2.15,0.466,3.53,4.65,1.74,0.0723,Sad,Sad
1.79,0.559,3.29,4.59,1.62,0.000428,Sad,Sad
1.71,0.583,3.29,4.63,1.54,-0.0288,Sad,Sad
1.73,0.579,3.27,4.67,1.49,-0.0594,Sad,Sad
1.69,0.592,3.15,4.66,1.42,-0.0521,Sad,Sad
1.72,0.583,2.92,4.65,1.34,-0.0294,Sad,Sad
1.8,0.554,2.83,4.65,1.38,-0.00191,Sad,Sad
1.99,0.502,2.81,4.62,1.33,0.0481,Sad,Sad
2.21,0.453,2.91,4.64,1.45,0.0216,Sad,Sad
2.57,0.39,3,4.66,1.5,-0.0284,Sad,Sad
2.92,0.343,3.01,4.51,1.61,-0.0259,Sad,Sad
3.08,0.325,3.12,4.38,1.71,-0.00861,Sad,Sad
3.25,0.307,3.35,4.38,1.69,0.00175,Sad,Sad
3.36,0.298,3.39,4.36,1.73,0.00274,Sad,Sad
3.4,0.294,3.37,4.38,1.71,-0.000939,Sad,Sad
3.43,0.291,3.38,4.44,1.68,-0.00418,Sad,Sad
3.48,0.288,3.43,4.46,1.69,-0.00669,Sad,Sad
3.48,0.288,3.46,4.47,1.68,-0.0108,Sad,Sad
3.45,0.29,3.46,4.45,1.67,-0.0183,Sad,Sad
3.37,0.296,3.36,4.28,1.52,-0.0186,Sad,Sad
3.16,0.316,3.39,3.87,1.52,-0.0161,Sad,Sad
