alpha,arousal1,betha,theta,gamma,valence1,'Stimuli (Audio)',Respuesta
3.17,0.32,3.43,2.86,2.13,0.03,Agressive,Sad
3.22,0.31,3.43,2.92,2.15,0.03,Agressive,Sad
3.12,0.32,3.42,2.92,2.17,0.02,Agressive,Sad
2.88,0.35,3.44,2.73,2.2,0.03,Agressive,Sad
2.67,0.37,3.52,2.57,2.21,0.05,Agressive,Sad
2.54,0.39,3.47,2.8,2.22,0.07,Agressive,Sad
2.62,0.38,3.45,2.89,2.29,0.07,Agressive,Sad
2.71,0.37,3.49,2.88,2.26,0.06,Agressive,Sad
2.72,0.37,3.18,2.93,1.91,0.06,Agressive,Sad
2.71,0.37,3.2,2.99,1.86,0.05,Agressive,Sad
2.64,0.38,3.18,2.97,1.88,0.05,Agressive,Sad
2.55,0.39,3.04,2.83,2.02,0.05,Agressive,Sad
2.53,0.4,3.2,2.74,1.99,0.04,Agressive,Sad
2.65,0.38,3.37,2.73,2.15,0.02,Agressive,Sad
2.89,0.35,3.4,2.91,2.26,-0.01,Agressive,Sad
3.26,0.31,3.33,3.21,2.19,-0.01,Agressive,Sad
3.42,0.29,3.32,3.36,2.24,-0.02,Agressive,Sad
3.4,0.29,3.33,3.51,2.18,-0.02,Agressive,Sad
3.38,0.3,3.3,3.63,2.13,-0.02,Agressive,Sad
3.45,0.29,3.24,3.65,2.19,-0.02,Agressive,Sad
3.55,0.28,3.15,3.6,2.29,-0.01,Agressive,Sad
3.58,0.28,3.13,3.63,2.32,-0.01,Agressive,Sad
3.57,0.28,3.13,3.77,2.24,-0.02,Agressive,Sad
3.55,0.28,2.86,3.91,2.31,-0.01,Agressive,Sad
3.54,0.28,2.84,3.95,2.29,-0.01,Agressive,Sad
3.43,0.29,2.89,3.87,2.21,-0.01,Agressive,Sad
3.14,0.32,2.96,3.69,2.2,-0.01,Agressive,Sad
2.99,0.33,3.08,3.49,2.22,-0.01,Agressive,Sad
3.02,0.33,3.06,3.29,2.24,-0.02,Agressive,Sad
3,0.33,3.03,3.09,2.21,-0.03,Agressive,Sad
2.87,0.35,3.14,3.04,2.25,-0.06,Agressive,Sad
2.81,0.36,3.15,3.01,2.22,-0.08,Agressive,Sad
2.79,0.36,3.22,2.91,2.21,-0.08,Agressive,Sad
2.83,0.35,3.33,2.63,2.27,-0.08,Agressive,Sad
2.86,0.35,3.44,2.16,2.18,-0.09,Agressive,Sad
2.7,0.37,3.4,2.22,2.08,-0.13,Agressive,Sad
